anon_id,programme_school_name,gender
Se87def70,School of Mathematics,F
S5ea3980b,School of Mathematics,M
Sb500d14e,School of Mathematics,M
S0271b26e,School of Informatics,M
S033e3432,School of Divinity,F
Sfc56779e,School of Physics and Astronomy,M
S04c58f8b,School of Informatics,M
Sb967ae28,School of Physics and Astronomy,M
S4c5272f5,School of Informatics,F
S2a948025,Business School,M
S17244c7d,School of Physics and Astronomy,M
Sad86e5cd,School of Informatics,M
S5d4cee00,School of Mathematics,F
S7f4c2b7e,School of Informatics,M
Sdd0cb126,School of Mathematics,M
S0044911a,Business School,F
Sf8019800,School of Economics,F
Sa7b8ddc8,School of Economics,F
S4cadbe27,School of Social and Political Science,M
Sbab9057e,School of Informatics,M
S5963156e,School of Mathematics,M
S4a4fce67,Deanery of Biomedical Sciences,F
S36afdf5b,School of Mathematics,F
S561e3733,School of Mathematics,F
S21210c86,School of Economics,F
S6782a85f,"School of Literatures, Languages and Cultures",M
S914895b5,School of Mathematics,M
S7675714d,"School of Philosophy, Psychology and Language Sciences",F
S58e9661c,School of Geosciences,M
S1ff3d361,"School of Philosophy, Psychology and Language Sciences",F
S84fa8f00,School of Informatics,M
S8fdc0e90,School of Mathematics,F
S8960f171,School of Mathematics,F
S9d61a0d7,School of Economics,F
S2a1bc077,School of Social and Political Science,F
S52eab25b,School of Informatics,M
S13eecf88,"School of Philosophy, Psychology and Language Sciences",F
Sd16220d2,School of Informatics,F
Sa21c7942,School of Economics,F
Sd3e7d8c9,School of Physics and Astronomy,F
S785b736f,School of Informatics,M
S867d5a10,School of Informatics,F
Saec4253d,School of Mathematics,M
Sda7fead2,School of Economics,F
Sd0ebe785,School of Informatics,M
S5ce9999e,School of Informatics,M
Sbf9b0f34,School of Informatics,F
Sc460e586,School of Mathematics,M
S88214c01,School of Informatics,M
Sd35db6dd,School of Informatics,M
S41948575,School of Mathematics,F
S39d94b3e,School of Informatics,M
S68875a65,School of Mathematics,M
S51ecd7a0,School of Biological Sciences,F
S0591cb7c,School of Mathematics,M
S538aae08,School of Informatics,M
S4df770ca,School of Informatics,M
S315d4a69,School of Informatics,M
Sa588e9c5,School of Physics and Astronomy,F
S08482efa,School of Mathematics,M
S380b4ec5,School of Informatics,F
S321fd463,School of Physics and Astronomy,M
Sa787dc98,School of Informatics,M
Sb2ebde7d,School of Informatics,F
Sc85f59d1,School of Economics,M
S845ef4df,School of Mathematics,M
S0ad204fe,School of Informatics,M
Sa5bf2a91,Business School,F
S300b0c40,School of Chemistry,M
Sc46cd8fa,School of Informatics,M
S1a64d524,School of Informatics,M
S412e5ed9,School of Informatics,M
S8b9191d0,"School of Philosophy, Psychology and Language Sciences",M
Sf95632a6,School of Informatics,F
S3872996f,School of Informatics,F
Se33a8f74,School of Informatics,F
S4e8c4842,School of Economics,F
S1598a75c,School of Engineering,F
S192ed7d0,School of Economics,M
S78334df6,School of Economics,M
S2f51411c,School of Informatics,M
S1c247969,School of Mathematics,M
Sc3fd9b93,School of Physics and Astronomy,M
S1c13517f,School of Informatics,M
S259298c0,"School of Philosophy, Psychology and Language Sciences",M
S076854de,School of Social and Political Science,F
S95296c79,School of Mathematics,M
Sfe608332,School of Informatics,F
Sc2a37c43,Business School,F
S71143f09,School of Biological Sciences,F
S435da3ba,"School of Philosophy, Psychology and Language Sciences",F
S92d5f303,School of Informatics,M
S7a684a9c,School of Economics,F
S121da72a,School of Biological Sciences,F
Se1ff94c7,School of Informatics,M
S933837b1,School of Informatics,F
S0d31749c,School of Mathematics,M
S2a0f4371,School of Informatics,M
Sa5c7a86f,School of Mathematics,M
S11a13226,School of Mathematics,M
S3915021b,School of Mathematics,M
S45e15c5b,School of Informatics,M
S0f16252b,School of Economics,M
Seda113d9,"School of Literatures, Languages and Cultures",F
S36f71009,School of Informatics,M
Sd1949012,School of Mathematics,F
S5f251292,School of Informatics,M
Sc12c51bf,School of Mathematics,F
S4e7a4d3a,School of Mathematics,M
S14e15c42,School of Mathematics,F
S28543dd9,School of Physics and Astronomy,F
S790a2c82,School of Mathematics,M
S113fb01c,School of Mathematics,F
Scfe93b71,School of Mathematics,M
Sdef615f1,School of Mathematics,F
Sa75c45bf,"School of Philosophy, Psychology and Language Sciences",F
Sdb769d4c,School of Informatics,M
Sad3edf10,School of Physics and Astronomy,M
S37ce7d1e,School of Informatics,M
Se1e1f4ad,School of Informatics,M
Sd84aea10,School of Mathematics,F
S1789154a,School of Mathematics,M
S8c54e08e,School of Economics,M
S865e6fe3,School of Informatics,F
S0fe05991,School of Informatics,F
Sd4b65a41,School of Mathematics,F
Sc5a974c1,School of Economics,F
S364b472c,School of Informatics,M
Sb917011e,School of Informatics,M
S517e6485,"School of Philosophy, Psychology and Language Sciences",F
S805eb286,School of Engineering,F
S5b8209b1,"School of Philosophy, Psychology and Language Sciences",F
S72dbfd3e,School of Mathematics,M
S4e6e9ca5,School of Informatics,M
S1221125f,School of Informatics,F
Sd8b6b9bc,School of Informatics,F
Sb0c90ebd,School of Economics,F
Sd96d0c2f,School of Economics,F
S6b0bd5e0,School of Economics,M
Sa1826bc8,"School of Philosophy, Psychology and Language Sciences",M
Se42bc96c,School of Informatics,F
S5bf47c19,School of Mathematics,M
Sa2088fe5,School of Mathematics,F
Sa8020088,School of Informatics,M
S39bd6fe3,Business School,F
Sd19e21e7,School of Mathematics,F
Sca157791,School of Mathematics,F
Se721cf11,School of Informatics,M
S1b098a04,School of Engineering,M
S0583efa8,School of Informatics,F
Sc5149191,School of Informatics,F
S5b5da394,School of Economics,M
S3922c14f,School of Informatics,M
Sa243fd4d,School of Informatics,F
S1e349248,School of Informatics,M
Sdea9b6c6,School of Informatics,M
S8523ae43,School of Economics,F
S8b8ea4ee,School of Mathematics,M
S81842b83,"School of Philosophy, Psychology and Language Sciences",M
S1a5384f0,School of Informatics,M
Sf0ff1df9,School of Mathematics,M
S3fa84f8f,School of Informatics,M
S861fd91f,School of Mathematics,M
S835fc2da,School of Physics and Astronomy,F
Sf0579b43,School of Economics,M
Sbf0254d3,School of Informatics,M
Sd27d893f,Edinburgh College of Art,F
Sbf14a847,School of Mathematics,M
Sa195ce6b,School of Physics and Astronomy,M
Sa15f07a4,School of Informatics,M
S24dd12ff,School of Mathematics,F
S17fc617f,School of Economics,M
S18b6f5d7,School of Physics and Astronomy,M
Sbabc4410,School of Physics and Astronomy,M
Sccd63811,School of Informatics,M
Sba7cd768,School of Informatics,M
Sc3566576,School of Physics and Astronomy,M
Sabbd7f5b,School of Mathematics,M
